{ 
Weapon Short_Sword 0 2 10
Consumable Small_Health_Potion 857 90 30
Monster Monster_One 300 600 2 100 1
Monster Monster_Two 400 700 3 100 2
Monster Monster_Three 500 700 4 100 3
Monster Monster_Four 600 700 1 100 4
}

0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 W W W W W W W W W 2 W W W 2 W W W 2 W W 4
2 W W W W W W W 2 W 2 W 2 W 2 W 2 W 2 W 2 4
2 W W W W W W W 2 W W W 2 W W W 2 W W W 2 4
2 W W W W W W 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
