{ 
Weapon Short_Sword 0 2 10
Consumable Small_Health_Potion 500 90 30
Consumable Big_Health_Potion 300 150 30
Monster Monster_One 300 350 2 100 1
}

0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 W W W W W W W W W W W W W W W W W W W N 4
2 W W W W W W W W 2 W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W 2 W 2 W 2 W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
2 W N W W W W W W W W W W W W W W W W W W 4
2 W W W W W W W W W W W W W W W W W W W W 4
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
